,address,propery_type,rooms,floor,square_foot,price,sector,block,property,day,month,year
3826,"צ""ג בנות 5",1,5.0,4,98.0,2100000,3929,684,13,27,07,2018
3827,"צ""ג בנות 5",1,5.0,4,98.0,1500000,3929,684,13,02,12,2013
3828,מעגל השלום 11,1,5.0,7,110.0,2350000,5096,5,27,26,07,2018
3829,מעגל השלום 11,1,5.0,7,110.0,2080000,5096,5,27,20,05,2010
3830,מעגל השלום 11,1,5.0,7,110.0,987000,5096,5,27,06,08,1999
3849,ליבין יוסף וריסיה 1,1,5.0,2,140.98,2425000,7374,103,5,16,07,2018
3850,ליבין יוסף וריסיה 1,1,5.0,2,140.98,1780000,7374,103,5,14,01,2013
3851,הגלים 18,1,5.0,6,102.63,1950000,6823,177,79,16,07,2018
3852,הגלים 18,1,5.0,6,102.63,1770000,6823,177,79,26,03,2015
3855,גולדה מאיר 7,1,5.0,5,119.0,2440000,3946,330,17,12,07,2018
3856,גולדה מאיר 7,1,5.0,5,119.0,1498000,3946,330,17,30,08,2009
3860,גרינשפן הרשל 11,1,5.0,3,123.0,2270000,6287,288,12,11,07,2018
3861,גרינשפן הרשל 11,1,5.0,3,123.0,1008000,6287,288,12,01,02,2004
3862,יהודה הלוי 68,1,5.0,3,109.5,1840000,3930,184,6,11,07,2018
3863,יהודה הלוי 68,1,5.0,3,109.5,750000,3930,184,6,02,01,2008
3871,עולי הגרדום 6,1,5.0,2,130.32,2500000,3934,239,6,06,07,2018
3872,עולי הגרדום 6,1,5.0,2,130.32,1430000,3934,239,6,09,02,2009
3873,"מיש""ר 8",1,5.0,3,142.2,2760000,3946,410,10,05,07,2018
3874,"מיש""ר 8",1,5.0,3,142.2,2200000,3946,410,10,20,03,2018
3875,"מיש""ר 8",1,5.0,3,142.2,2350000,3946,410,10,28,08,2017
3876,"מיש""ר 8",1,5.0,3,142.2,2034000,3946,410,10,23,05,2012
3877,"מיש""ר 8",1,5.0,3,142.2,2176000,3946,410,10,27,02,2012
3878,"מיש""ר 8",1,5.0,3,142.2,1881000,3946,410,10,26,12,2011
3882,מלל ניסים 22,2,6.0,0,283.5,4435000,7375,93,2,02,07,2018
3883,מלל ניסים 22,2,6.0,0,283.5,3450000,7375,93,2,08,04,2014
3884,הכורמים 4,1,5.0,6,103.0,2200000,5039,22,13,01,07,2018
3885,הכורמים 4,1,5.0,6,103.0,950000,5039,22,13,16,09,2001
3886,הרב שלינקה יצחק 3,1,5.0,2,135.4,2600000,7373,57,6,01,07,2018
3887,הרב שלינקה יצחק 3,1,5.0,2,135.4,1540000,7373,57,6,13,10,2009
3893,קוזנץ שמעון 7,2,7.0,1,243.2,4425000,5098,12,1,27,06,2018
3894,קוזנץ שמעון 7,2,7.0,1,243.2,2480000,5098,12,1,27,02,2008
3913,פנינה ומשה 3,1,5.0,4,101.82,1700000,3939,308,13,18,06,2018
3914,פנינה ומשה 3,1,5.0,4,101.82,642000,3939,308,13,13,06,2004
3916,הקוקיה 66,1,5.0,7,128.3,2390000,6287,222,60,17,06,2018
3917,הקוקיה 66,1,5.0,7,128.3,1097000,6287,222,60,27,08,2002
3920,גשר 7,1,5.0,7,109.0,2000000,5387,22,25,14,06,2018
3921,גשר 7,1,5.0,7,109.0,1525000,5387,22,25,26,06,2013
3922,גשר 7,1,5.0,7,109.0,879000,5387,22,25,16,04,2000
3932,הקלרנית 7,1,5.0,7,119.52,2850000,5183,33,43,12,06,2018
3933,הקלרנית 7,1,5.0,7,119.52,1540000,5183,33,43,01,05,2008
3934,הקלרנית 7,1,5.0,7,119.52,1250000,5183,33,43,26,05,2000
3935,טרכטנברג 18,1,5.0,1,105.0,1780000,3928,831,52,12,06,2018
3936,טרכטנברג 18,1,5.0,1,105.0,1100000,3928,831,52,03,01,2010
3940,התזמורת 16,1,5.0,2,105.2,2070000,5182,21,53,11,06,2018
3941,התזמורת 16,1,5.0,2,105.2,1730000,5182,21,53,25,07,2013
3942,התזמורת 16,1,5.0,2,105.2,925000,5182,21,53,03,01,2005
3943,גלוסקין 23,1,5.0,2,115.73,2150000,3936,40,3,11,06,2018
3944,גלוסקין 23,1,5.0,2,115.73,862000,3936,40,3,20,11,2006
3945,הנחשול 73,1,6.0,0,154.84,2740000,6823,178,2,11,06,2018
3946,הנחשול 73,1,6.0,0,154.84,2300000,6823,178,2,19,06,2015
3951,נורדאו 77,2,6.0,0,167.23,3000000,3925,104,3,07,06,2018
3952,נורדאו 77,2,6.0,0,167.23,1420000,3925,104,3,25,12,2005
3953,נורדאו 77,2,6.0,0,167.23,1217000,3925,104,3,15,12,1998
3956,הרבי מלובביץ 18,1,5.0,0,117.28,2868000,5116,5,2,07,06,2018
3957,הרבי מלובביץ 18,1,5.0,0,117.28,1850000,5116,5,2,24,03,2011
3969,ירושלים 38,1,5.0,8,164.03,2510000,3937,49,15,31,05,2018
3970,ירושלים 38,1,5.0,8,164.03,1384000,3937,49,15,01,06,2007
3971,ירושלים 38,1,5.0,8,164.03,1475000,3937,49,15,31,12,2003
3972,אלחריזי 14,1,5.0,1,123.42,2615000,5115,4,4,31,05,2018
3973,אלחריזי 14,1,5.0,1,123.42,1800000,5115,4,4,10,06,2010
3982,שניאור זלמן 20,1,5.0,1,105.0,1116000,7281,65,6,28,05,2018
3983,שניאור זלמן 20,1,5.0,1,105.0,453000,7281,65,6,22,07,2007
3987,השריג 27,2,5.0,1,147.8,2950000,5039,40,59,23,05,2018
3988,השריג 27,2,5.0,1,147.8,2225000,5039,40,59,01,11,2010
3993,גנות צבי 6,1,5.0,11,141.5,2860000,7373,60,40,17,05,2018
3994,גנות צבי 6,1,5.0,11,141.5,2200000,7373,60,40,17,03,2011
4005,האחים יעקובי 21,1,5.0,2,130.67,2500000,3927,111,4,13,05,2018
4006,האחים יעקובי 21,1,5.0,2,130.67,2494000,3927,111,4,20,03,2016
4031,הקלרנית 4,1,5.0,1,112.94,2000000,5183,30,4,07,05,2018
4032,הקלרנית 4,1,5.0,1,112.94,1023000,5183,30,4,22,11,2007
4039,כנרת 4,1,5.0,5,123.46,1100000,3923,405,9,06,05,2018
4040,כנרת 4,1,5.0,5,123.46,1600000,3923,405,9,01,01,2009
4041,הגדוד העברי 33,3,5.0,7,128.48,2750000,3932,142,13,06,05,2018
4042,הגדוד העברי 33,3,5.0,7,128.48,1800000,3932,142,13,01,09,2014
4050,מעגל השלום 9,3,5.0,13,132.0,3900000,5096,6,150,04,05,2018
4051,מעגל השלום 9,3,5.0,13,132.0,3800000,5096,6,150,21,07,2010
4052,מעגל השלום 9,3,5.0,13,132.0,2018000,5096,6,150,09,04,2010
4053,הרב נריה 17,1,5.0,4,120.36,3015000,5116,33,16,03,05,2018
4054,הרב נריה 17,1,5.0,4,120.36,1473000,5116,33,16,17,09,2007
4055,הרב נריה 17,1,5.0,4,120.36,1481000,5116,33,16,10,11,2005
4056,הרב נריה 17,1,5.0,4,120.36,1065000,5116,33,16,06,11,2001
4082,"רמב""ם 40",1,6.0,5,140.15,2650000,3930,636,9,30,04,2018
4083,"רמב""ם 40",1,6.0,5,140.15,1743000,3930,636,9,31,07,2009
4097,מיכואלס שלמה 14,2,6.0,0,199.65,3400000,3945,847,3,25,04,2018
4098,מיכואלס שלמה 14,2,6.0,0,199.65,1919000,3945,847,3,14,12,2004
4099,הרב שלינקה יצחק 3,1,5.0,5,135.4,2500000,7373,57,18,25,04,2018
4100,הרב שלינקה יצחק 3,1,5.0,5,135.4,1484000,7373,57,18,26,02,2009
4101,חומה ומגדל 19,1,5.0,0,159.2,3450000,5389,91,3,25,04,2018
4102,חומה ומגדל 19,1,5.0,0,159.2,2462000,5389,91,3,05,05,2013
4115,הנגיד 14,1,5.0,10,117.1,2150000,5115,28,83,20,04,2018
4116,הנגיד 14,1,5.0,10,117.1,828000,5115,28,83,15,09,1998
4120,הבוצרים 14,4,5.0,1,141.3,2650000,5039,48,48,16,04,2018
4121,הבוצרים 14,4,5.0,1,141.3,1385000,5039,48,48,21,11,2006
4124,בלפור 11,1,5.0,1,110.08,1800000,3931,20,2,15,04,2018
4125,בלפור 11,1,5.0,1,110.08,867000,3931,20,2,30,03,2000
4126,ויצמן 12,1,5.0,3,115.04,1287500,3928,886,5,15,04,2018
4127,ויצמן 12,1,5.0,3,115.04,2050000,3928,886,5,26,02,2012
4136,ימית 98,2,6.0,1,215.0,3550000,5385,54,4,10,04,2018
4137,ימית 98,2,6.0,1,215.0,1697000,5385,54,4,11,06,2002
4142,לנדאו חיים 5,1,5.0,7,159.0,2000000,5037,47,25,01,04,2018
4143,לנדאו חיים 5,1,5.0,7,159.0,660000,5037,47,25,07,03,2009
4152,הקלרנית 6,1,5.0,1,112.94,2225000,5183,30,26,27,03,2018
4153,הקלרנית 6,1,5.0,1,112.94,884000,5183,30,26,04,07,1999
4154,הכינור 4,1,5.0,4,105.2,2100000,5183,7,39,27,03,2018
4155,הכינור 4,1,5.0,4,105.2,1650000,5183,7,39,07,10,2013
4159,אלון יגאל 22,1,5.0,7,118.9,2320000,6287,285,31,26,03,2018
4160,אלון יגאל 22,1,5.0,7,118.9,1550000,6287,285,31,09,10,2011
4161,אלון יגאל 22,1,5.0,7,118.9,959000,6287,285,31,18,04,2002
4162,קאפח 9,1,6.0,11,133.0,3140000,5114,35,132,26,03,2018
4163,קאפח 9,1,6.0,11,133.0,1935000,5114,35,132,16,02,2009
4164,קאפח 9,1,6.0,11,133.0,1351000,5114,35,132,26,10,2004
4165,דוידזון 4,1,5.0,1,115.6,1820000,3939,312,4,26,03,2018
4166,דוידזון 4,1,5.0,1,115.6,900000,3939,312,4,06,09,2009
4171,תנועות הנוער 1,1,5.0,1,133.98,2460000,3939,449,4,25,03,2018
4172,תנועות הנוער 1,1,5.0,1,133.98,2110000,3939,449,4,22,05,2016
4173,תנועות הנוער 1,1,5.0,1,133.98,1500000,3939,449,4,10,08,2011
4174,תנועות הנוער 1,1,5.0,1,133.98,1056000,3939,449,4,24,01,2007
4176,שגיא יהודה 3,1,5.0,1,257.0,2830000,3930,519,2,22,03,2018
4177,שגיא יהודה 3,1,5.0,1,257.0,1900000,3930,519,2,13,05,2009
4180,הנגיד 5,1,5.0,6,113.0,2620000,5115,33,68,21,03,2018
4181,הנגיד 5,1,5.0,6,113.0,1189000,5115,33,68,18,08,2003
4185,אלקבץ 13,1,5.0,2,109.92,2150000,5114,41,6,19,03,2018
4186,אלקבץ 13,1,5.0,2,109.92,741000,5114,41,6,26,06,1998
4187,אורנבך אשר 3,1,5.0,1,126.7,2450000,7375,28,6,19,03,2018
4188,אורנבך אשר 3,1,5.0,1,126.7,319000,7375,28,6,06,09,1998
4191,הדוגית 26,1,6.0,0,154.84,2560000,6823,186,10,18,03,2018
4192,הדוגית 26,1,6.0,0,154.84,1174000,6823,186,10,09,06,2005
4196,בן סרוק 6,1,5.0,7,127.8,2430000,5114,39,67,14,03,2018
4197,בן סרוק 6,1,5.0,7,127.8,1770000,5114,39,67,09,08,2010
4201,חיל ההנדסה 7,1,5.0,5,117.94,2200000,2717,2,23,13,03,2018
4202,חיל ההנדסה 7,1,5.0,5,117.94,966000,2717,2,23,27,10,2007
4203,הרב קוק 3,1,5.0,2,110.55,1635000,3932,121,7,13,03,2018
4204,הרב קוק 3,1,5.0,2,110.55,1100000,3932,121,7,07,09,2012
4205,אורנבך אשר 5,1,5.0,3,125.0,2620000,7375,27,14,13,03,2018
4206,אורנבך אשר 5,1,5.0,3,125.0,1865000,7375,27,14,19,08,2013
4207,אורנבך אשר 5,1,5.0,3,125.0,1840000,7375,27,14,08,08,2013
4211,בלפור 17,1,5.0,3,97.07,1720000,3931,26,6,12,03,2018
4212,בלפור 17,1,5.0,3,97.07,850000,3931,26,6,05,06,2008
4213,בשארי סעדיה ויוסף 9,1,5.0,2,129.7,2450000,7374,109,7,12,03,2018
4214,בשארי סעדיה ויוסף 9,1,5.0,2,129.7,1800000,7374,109,7,12,12,2012
4221,הסיגלית 3,1,5.0,2,82.2,1830000,5036,94,83,08,03,2018
4222,הסיגלית 3,1,5.0,2,82.2,1450000,5036,94,83,27,11,2014
4223,הסיגלית 3,1,5.0,2,82.2,714000,5036,94,83,21,09,2006
4224,קרלן פרץ 16,1,5.0,1,132.3,3250000,3925,535,1,08,03,2018
4225,קרלן פרץ 16,1,5.0,1,132.3,2230000,3925,535,1,30,05,2014
4235,ברניצקי נתן 7,1,5.0,2,109.82,2000000,3926,885,3,06,03,2018
4236,ברניצקי נתן 7,1,5.0,2,109.82,1600000,3926,885,3,05,10,2014
4238,חיל השריון 13,1,5.0,1,107.0,1885000,2717,14,1,05,03,2018
4239,חיל השריון 13,1,5.0,1,107.0,1670000,2717,14,1,03,11,2010
4240,חיל השריון 13,1,5.0,1,107.0,649000,2717,14,1,02,07,1998
4241,הקוקיה 30,1,5.0,7,125.25,2410000,6287,154,25,05,03,2018
4242,הקוקיה 30,1,5.0,7,125.25,1640000,6287,154,25,11,05,2014
4247,חיל השריון 13,1,5.0,8,103.0,2390000,2717,14,30,04,03,2018
4248,חיל השריון 13,1,5.0,8,103.0,1400000,2717,14,30,06,11,2009
4253,עמיר 5,4,5.0,0,106.0,2546000,5388,22,25,02,03,2018
4254,עמיר 5,4,5.0,0,106.0,1900000,5388,22,25,01,10,2013
4255,המשוררת רחל 54,1,8.0,0,214.8,3650000,5117,7,4,01,03,2018
4256,המשוררת רחל 54,1,8.0,0,214.8,1626000,5117,7,4,26,10,1998
4257,העסיס 21,1,5.0,6,96.6,2090000,5038,10,51,01,03,2018
4258,העסיס 21,1,5.0,6,96.6,1500000,5038,10,51,03,11,2011
4259,העסיס 21,1,5.0,6,96.6,935000,5038,10,51,01,11,1998
4264,מבצע הראל 17,1,7.0,0,223.0,3480000,5383,39,1,26,02,2018
4265,מבצע הראל 17,1,7.0,0,223.0,2775000,5383,39,1,05,08,2013
4273,הנגב 2,2,6.0,0,211.84,2840000,3930,547,1,19,02,2018
4274,הנגב 2,2,6.0,0,211.84,1174000,3930,547,1,06,02,2007
4277,בלקינד שמשון 12,1,6.0,3,129.56,1700000,3937,30,9,18,02,2018
4278,בלקינד שמשון 12,1,6.0,3,129.56,768000,3937,30,9,30,04,2003
4279,הקוקיה 29,1,5.0,6,114.36,2285000,6287,313,23,15,02,2018
4280,הקוקיה 29,1,5.0,6,114.36,965000,6287,313,23,05,03,2002
4281,הרשקוביץ 1,3,5.0,8,160.2,3750000,7373,55,27,15,02,2018
4282,הרשקוביץ 1,3,5.0,8,160.2,2800000,7373,55,27,01,11,2009
4283,שדות 38,2,6.0,0,228.0,3850000,5386,31,2,14,02,2018
4284,שדות 38,2,6.0,0,228.0,1744000,5386,31,2,02,08,2000
4285,הגדוד העברי 42,1,5.0,4,92.98,1740000,3929,513,7,14,02,2018
4286,הגדוד העברי 42,1,5.0,4,92.98,1300000,3929,513,7,11,03,2015
4293,חזן יעקב 38,1,7.0,0,178.88,2775000,6288,59,19,08,02,2018
4294,חזן יעקב 38,1,7.0,0,178.88,1565000,6288,59,19,12,08,2002
4297,הרב גורן 7,1,5.0,10,121.11,2620000,5116,26,40,07,02,2018
4298,הרב גורן 7,1,5.0,10,121.11,1570000,5116,26,40,17,05,2009
4299,שלונסקי 22,4,5.0,0,109.9,3500000,5119,84,2,07,02,2018
4300,שלונסקי 22,4,5.0,0,109.9,2100000,5119,84,2,24,08,2010
4313,עליזה בגין 8,1,5.0,6,125.0,2690000,3927,360,23,01,02,2018
4314,עליזה בגין 8,1,5.0,6,125.0,1264000,3927,360,23,29,08,2002
4322,האיריס 12,1,5.0,4,103.2,1845000,5036,114,36,30,01,2018
4323,האיריס 12,1,5.0,4,103.2,910000,5036,114,36,02,08,2000
4336,גלילי ישראל 19,1,5.0,6,130.0,3030000,3946,412,89,23,01,2018
4337,גלילי ישראל 19,1,5.0,6,130.0,2800000,3946,412,89,31,05,2016
4344,הכורמים 14,1,5.0,5,103.0,2380000,5039,23,35,19,01,2018
4345,הכורמים 14,1,5.0,5,103.0,931000,5039,23,35,11,04,2003
4347,בן עובדיה יוסף 38,2,6.0,1,290.15,4025000,7375,146,2,17,01,2018
4348,בן עובדיה יוסף 38,2,6.0,1,290.15,3350000,7375,146,2,10,04,2014
4350,האורגן 3,1,5.0,6,128.1,2670000,5182,8,45,16,01,2018
4351,האורגן 3,1,5.0,6,128.1,1708000,5182,8,45,13,11,2007
4361,פולה בן גוריון 5,1,5.0,4,138.54,2980000,3927,364,15,09,01,2018
4362,פולה בן גוריון 5,1,5.0,4,138.54,1427000,3927,364,15,30,01,2008
4368,הדגן 9,1,5.0,6,128.9,3050000,5038,21,34,08,01,2018
4369,הדגן 9,1,5.0,6,128.9,2179000,5038,21,34,07,10,2013
4390,בשארי סעדיה ויוסף 9,1,5.0,2,132.0,2425000,7374,109,6,02,01,2018
4391,בשארי סעדיה ויוסף 9,1,5.0,2,132.0,1760000,7374,109,6,16,05,2012
4392,בשארי סעדיה ויוסף 9,1,5.0,2,132.0,2375000,7374,109,6,30,05,2011
4394,הכורמים 7,1,5.0,4,104.0,2000000,5039,25,42,01,01,2018
4395,הכורמים 7,1,5.0,4,104.0,1225000,5039,25,42,22,01,2009
4405,התורמוס 4,1,5.0,7,133.11,2540000,5036,157,37,27,12,2017
4406,התורמוס 4,1,5.0,7,133.11,1725000,5036,157,37,11,08,2013
4409,טופז 2,1,6.0,0,144.61,3025000,4746,56,3,26,12,2017
4410,טופז 2,1,6.0,0,144.61,2200000,4746,56,3,13,05,2010
4416,עין דור 7,1,5.0,4,113.92,2580000,6286,330,15,24,12,2017
4417,עין דור 7,1,5.0,4,113.92,1702000,6286,330,15,17,05,2012
4422,אוסישקין 33,1,5.0,2,101.71,1880000,3928,272,4,19,12,2017
4423,אוסישקין 33,1,5.0,2,101.71,1310000,3928,272,4,13,01,2013
4424,מורדי הגטאות 40,3,5.0,12,104.5,1724000,4242,526,143,18,12,2017
4425,מורדי הגטאות 40,3,5.0,12,104.5,747000,4242,526,143,09,04,2003
4428,הדגן 20,1,6.0,5,144.05,2550000,5038,20,44,17,12,2017
4429,הדגן 20,1,6.0,5,144.05,975000,5038,20,44,26,08,1999
4430,אילון 3,1,5.5,1,96.7,1800000,5387,76,11,17,12,2017
4431,אילון 3,1,5.5,1,96.7,970000,5387,76,11,03,01,2008
4453,בנבנישתי 13,1,6.0,1,243.65,3950000,5119,47,2,07,12,2017
4454,בנבנישתי 13,1,6.0,1,243.65,1752000,5119,47,2,01,11,2001
4461,הרב שלינקה יצחק 3,1,5.0,6,135.4,2690000,7373,57,22,05,12,2017
4462,הרב שלינקה יצחק 3,1,5.0,6,135.4,2340000,7373,57,22,14,01,2015
4463,הרב שלינקה יצחק 3,1,5.0,6,135.4,1474000,7373,57,22,27,02,2009
4467,סמילנסקי 13,1,5.0,5,137.17,2500000,3936,175,10,03,12,2017
4468,סמילנסקי 13,1,5.0,5,137.17,1098000,3936,175,10,14,05,2006
4475,דרבלה 5,2,5.5,1,176.6,2900000,4242,400,1,30,11,2017
4476,דרבלה 5,2,5.5,1,176.6,1054000,4242,400,1,07,10,2003
4477,דרבלה 5,2,5.5,1,176.6,957000,4242,400,1,15,08,2000
4478,הגדוד העברי 85,1,5.0,4,110.14,1840000,3929,869,12,30,11,2017
4479,הגדוד העברי 85,1,5.0,4,110.14,1560000,3929,869,12,13,06,2013
4482,גלילי ישראל 19,1,5.0,1,122.0,2700000,3946,412,67,29,11,2017
4483,גלילי ישראל 19,1,5.0,1,122.0,2410000,3946,412,67,03,02,2016
4491,ירושלים 17,1,5.0,9,143.5,3450000,3932,308,16,27,11,2017
4492,ירושלים 17,1,5.0,9,143.5,2250000,3932,308,16,24,09,2009
4496,גלילי ישראל 19,1,5.0,11,130.0,3475000,3946,412,106,26,11,2017
4497,גלילי ישראל 19,1,5.0,11,130.0,3060000,3946,412,106,28,11,2016
4503,שרונה 12,1,6.0,0,188.0,3020000,5389,66,6,23,11,2017
4504,שרונה 12,1,6.0,0,188.0,2545000,5389,66,6,22,07,2014
4511,"הנצי""ב מוולוז'ין 4",1,5.0,0,141.0,2570000,3925,395,1,20,11,2017
4512,"הנצי""ב מוולוז'ין 4",1,5.0,0,141.0,1000000,3925,395,1,26,09,2010
4520,הרותם 3,1,5.0,4,118.0,1900000,5036,32,40,16,11,2017
4521,הרותם 3,1,5.0,4,118.0,842000,5036,32,40,22,03,2002
4529,בן אליעזר 31,1,5.0,3,108.39,1795000,3926,1090,9,14,11,2017
4530,בן אליעזר 31,1,5.0,3,108.39,776000,3926,1090,9,10,08,1999
4533,טיומקין 7,1,5.0,6,125.0,2340000,3925,469,7,13,11,2017
4534,טיומקין 7,1,5.0,6,125.0,1800000,3925,469,7,21,09,2016
4535,טיומקין 7,1,5.0,6,125.0,1340000,3925,469,7,16,08,2015
4536,טיומקין 7,1,5.0,6,125.0,1340000,3925,469,7,05,08,2015
4537,טיומקין 7,1,5.0,6,125.0,815000,3925,469,7,10,09,2009
4540,הגת 12,1,5.0,6,109.7,1930000,5039,51,106,12,11,2017
4541,הגת 12,1,5.0,6,109.7,1670000,5039,51,106,21,10,2013
4548,ברזילי 8,1,5.0,4,107.92,2305000,3945,859,8,08,11,2017
4549,ברזילי 8,1,5.0,4,107.92,1550000,3945,859,8,11,08,2008
4550,חיל החימוש 15,1,5.0,3,125.0,2050000,2717,18,14,08,11,2017
4551,חיל החימוש 15,1,5.0,3,125.0,2010000,2717,18,14,25,08,2016
4552,חיל החימוש 15,1,5.0,3,125.0,1750000,2717,18,14,17,02,2010
4556,גלילי ישראל 19,1,5.0,5,122.0,2850000,3946,412,83,07,11,2017
4557,גלילי ישראל 19,1,5.0,5,122.0,2470000,3946,412,83,03,05,2016
4560,ההתיישבות 5,1,5.0,7,118.93,2650000,6286,398,54,06,11,2017
4561,ההתיישבות 5,1,5.0,7,118.93,1250000,6286,398,54,10,10,2012
4562,ההתיישבות 5,1,5.0,7,118.93,1608000,6286,398,54,24,08,2010
4572,גלילי ישראל 19,1,5.0,8,130.0,3100000,3946,412,95,02,11,2017
4573,גלילי ישראל 19,1,5.0,8,130.0,2820000,3946,412,95,12,06,2016
4576,השריג 29,4,5.0,1,130.3,2575000,5039,40,60,01,11,2017
4577,השריג 29,4,5.0,1,130.3,2100000,5039,40,60,16,03,2015
4599,שלונסקי 6,1,5.0,2,118.4,2600000,5119,76,12,26,10,2017
4600,שלונסקי 6,1,5.0,2,118.4,2338000,5119,76,12,29,05,2013
4603,בן גוריון 52,1,5.0,9,124.93,2800000,3927,363,34,25,10,2017
4604,בן גוריון 52,1,5.0,9,124.93,2050000,3927,363,34,15,10,2010
4606,גלילי ישראל 19,1,5.0,9,122.0,2930000,3946,412,99,23,10,2017
4607,גלילי ישראל 19,1,5.0,9,122.0,2460000,3946,412,99,13,07,2016
4613,המפוחית 3,4,5.0,0,102.3,2449000,5182,3,1,18,10,2017
4614,המפוחית 3,4,5.0,0,102.3,2190000,5182,3,1,27,11,2013
4615,המפוחית 3,4,5.0,0,102.3,1600000,5182,3,1,22,12,2010
4616,המפוחית 3,4,5.0,0,102.3,814000,5182,3,1,16,11,2003
4624,אורנבך אשר 5,1,5.0,1,125.0,2635000,7375,27,6,09,10,2017
4625,אורנבך אשר 5,1,5.0,1,125.0,2199000,7375,27,6,07,03,2016
4626,אורנבך אשר 5,1,5.0,1,125.0,1900000,7375,27,6,27,07,2013
4627,גלילי ישראל 19,1,5.0,7,122.0,3440000,3946,412,93,09,10,2017
4628,גלילי ישראל 19,1,5.0,7,122.0,2440000,3946,412,93,05,06,2016
4633,גולדה מאיר 7,1,5.0,9,119.1,2455000,3946,330,36,03,10,2017
4634,גולדה מאיר 7,1,5.0,9,119.1,1384000,3946,330,36,10,07,2008
4639,קאפח 13,1,6.0,11,131.0,3000000,5114,35,42,02,10,2017
4640,קאפח 13,1,6.0,11,131.0,1719000,5114,35,42,26,04,2009
4646,פוחצ'בסקי מיכל 44,2,6.0,1,229.3,3250000,3925,634,2,01,10,2017
4647,פוחצ'בסקי מיכל 44,2,6.0,1,229.3,1600000,3925,634,2,03,09,2003
4652,הזמורה 15,1,5.0,2,125.6,2310000,5039,39,7,27,09,2017
4653,הזמורה 15,1,5.0,2,125.6,2100000,5039,39,7,30,06,2015
4654,הזמורה 15,1,5.0,2,125.6,1150000,5039,39,7,29,09,2002
4655,שפטל אריה 36,3,5.0,4,158.0,2770000,3926,1134,7,27,09,2017
4656,שפטל אריה 36,3,5.0,4,158.0,1640000,3926,1134,7,14,12,2007
4657,שפטל אריה 36,3,5.0,4,158.0,1457000,3926,1134,7,27,02,2003
4661,התזמורת 56,1,5.0,4,107.8,2260000,5183,35,65,26,09,2017
4662,התזמורת 56,1,5.0,4,107.8,1084000,5183,35,65,05,12,2002
4672,האחים סולימן 7,1,5.0,7,119.33,2230000,3930,579,20,19,09,2017
4673,האחים סולימן 7,1,5.0,7,119.33,3567000,3930,579,20,13,12,2000
4688,השריג 19,1,5.0,7,142.8,2600000,5039,40,99,11,09,2017
4689,השריג 19,1,5.0,7,142.8,1306000,5039,40,99,07,05,2001
4691,טרכטנברג 18,1,5.0,3,105.0,1778000,3928,831,60,10,09,2017
4692,טרכטנברג 18,1,5.0,3,105.0,752000,3928,831,60,02,01,2008
4693,הרב שלינקה יצחק 3,1,5.0,3,135.5,2650000,7373,57,9,10,09,2017
4694,הרב שלינקה יצחק 3,1,5.0,3,135.5,1500000,7373,57,9,24,05,2009
4695,יהלום 5,1,6.0,0,186.97,3275000,4747,58,2,10,09,2017
4696,יהלום 5,1,6.0,0,186.97,2645000,4747,58,2,02,10,2011
4699,עין גב 2,1,5.5,1,142.52,2675000,5389,21,7,07,09,2017
4700,עין גב 2,1,5.5,1,142.52,1382000,5389,21,7,30,05,2006
4709,גרניט 4,1,5.0,2,153.14,2850000,4746,35,14,05,09,2017
4710,גרניט 4,1,5.0,2,153.14,1239000,4746,35,14,16,11,2003
4711,ההתיישבות 51,1,5.0,7,139.8,2800000,6286,325,30,05,09,2017
4712,ההתיישבות 51,1,5.0,7,139.8,1650000,6286,325,30,06,02,2011
4726,בן אליעזר 25,1,5.0,2,105.51,1900000,3926,1087,3,29,08,2017
4727,בן אליעזר 25,1,5.0,2,105.51,1430000,3926,1087,3,10,08,2009
4728,בן אליעזר 25,1,5.0,2,105.51,776000,3926,1087,3,15,06,2001
4731,עין דור 7,1,5.0,3,112.73,2400000,6286,330,9,28,08,2017
4732,עין דור 7,1,5.0,3,112.73,1639000,6286,330,9,12,07,2012
4737,הנחשול 83,1,5.0,10,115.1,2700000,5748,4,35,27,08,2017
4738,הנחשול 83,1,5.0,10,115.1,1845000,5748,4,35,13,10,2009
4739,ויניק 40,1,5.0,0,125.0,2200000,3926,1083,18,27,08,2017
4740,ויניק 40,1,5.0,0,125.0,2500000,3926,1083,18,27,11,2016
4750,פרס שמעון 7,2,6.0,0,190.32,3200000,5099,6,2,23,08,2017
4751,פרס שמעון 7,2,6.0,0,190.32,1430000,5099,6,2,05,07,2001
4760,מאירוביץ 15,1,6.0,3,156.9,2400000,3936,269,7,20,08,2017
4761,מאירוביץ 15,1,6.0,3,156.9,1213000,3936,269,7,16,08,2000
4766,גלוסקין 11,1,6.0,6,137.0,2660000,3936,50,20,18,08,2017
4767,גלוסקין 11,1,6.0,6,137.0,2096000,3936,50,20,03,05,2013
4770,דוידזון 2,1,5.0,5,111.0,1800000,3939,313,17,15,08,2017
4771,דוידזון 2,1,5.0,5,111.0,1170000,3939,313,17,13,02,2011
4777,סוקולוב 4,1,5.0,1,118.5,2000000,3936,272,1,09,08,2017
4778,סוקולוב 4,1,5.0,1,118.5,1678000,3936,272,1,03,09,2010
4779,סוקולוב 4,1,5.0,1,118.5,928000,3936,272,1,08,03,2001
